Algorithm,Problem,ExecutionId,IndicatorName,IndicatorValue
NSGAII,DTLZ2,0,EP,0.15816426570380215
NSGAII,DTLZ2,0,HV,5.4483911838229355
NSGAII,DTLZ2,1,EP,0.1604317472247705
NSGAII,DTLZ2,1,HV,5.444584837519119
NSGAII,DTLZ2,2,EP,0.16866034452097334
NSGAII,DTLZ2,2,HV,5.433925131308233
NSGAII,DTLZ2,3,EP,0.17995216472474204
NSGAII,DTLZ2,3,HV,5.441000975707958
NSGAII,DTLZ2,4,EP,0.1883936222510355
NSGAII,DTLZ2,4,HV,5.424697339921084
NSGAII,DTLZ2,5,EP,0.15452941582462532
NSGAII,DTLZ2,5,HV,5.415971628770597
NSGAII,DTLZ2,6,EP,0.18055494438756992
NSGAII,DTLZ2,6,HV,5.443393976046822
NSGAII,DTLZ2,7,EP,0.15141331261504148
NSGAII,DTLZ2,7,HV,5.451537449769061
NSGAII,DTLZ2,8,EP,0.15733578761387843
NSGAII,DTLZ2,8,HV,5.4478842576161695
NSGAII,DTLZ2,9,EP,0.16362448308179275
NSGAII,DTLZ2,9,HV,5.4366890845462725
NSGAII,DTLZ2,0,Time,10.748707056045532
NSGAII,DTLZ2,1,Time,10.719820022583008
NSGAII,DTLZ2,2,Time,10.686733722686768
NSGAII,DTLZ2,3,Time,10.81370997428894
NSGAII,DTLZ2,4,Time,10.725290775299072
NSGAII,DTLZ2,5,Time,10.80554747581482
NSGAII,DTLZ2,6,Time,10.708847761154175
NSGAII,DTLZ2,7,Time,10.807035684585571
NSGAII,DTLZ2,8,Time,10.914787769317627
NSGAII,DTLZ2,9,Time,10.876558780670166
NSGAII,DTLZ7,0,EP,0.533019746352386
NSGAII,DTLZ7,0,HV,0.4109820543474538
NSGAII,DTLZ7,1,EP,0.5521391513735121
NSGAII,DTLZ7,1,HV,0.39527968053521223
NSGAII,DTLZ7,2,EP,0.5223570680220071
NSGAII,DTLZ7,2,HV,0.4262636952254978
NSGAII,DTLZ7,3,EP,0.5593282480115732
NSGAII,DTLZ7,3,HV,0.4114044731428967
NSGAII,DTLZ7,4,EP,0.6297936812819183
NSGAII,DTLZ7,4,HV,0.3535999253361358
NSGAII,DTLZ7,5,EP,0.5094277853733974
NSGAII,DTLZ7,5,HV,0.46687533111338086
NSGAII,DTLZ7,6,EP,0.5402253483691163
NSGAII,DTLZ7,6,HV,0.3871312409706402
NSGAII,DTLZ7,7,EP,0.5445115197547894
