Algorithm,Problem,ExecutionId,IndicatorName,IndicatorValue
NSGAII,ZDT1,0,EP,0.08219681703510402
NSGAII,ZDT1,0,HV,0.7667331064276651
NSGAII,ZDT1,1,EP,0.06998051117022264
NSGAII,ZDT1,1,HV,0.7694217809351639
NSGAII,ZDT1,2,EP,0.0764063755365582
NSGAII,ZDT1,2,HV,0.7682456527298246
NSGAII,ZDT1,3,EP,0.07801048583225194
NSGAII,ZDT1,3,HV,0.7637076519524952
NSGAII,ZDT1,4,EP,0.07429355714180798
NSGAII,ZDT1,4,HV,0.7719750929925815
NSGAII,ZDT1,5,EP,0.08024793584968712
NSGAII,ZDT1,5,HV,0.7630621580195903
NSGAII,ZDT1,6,EP,0.071588281373377
NSGAII,ZDT1,6,HV,0.7685065264216236
NSGAII,ZDT1,7,EP,0.07974235367446206
NSGAII,ZDT1,7,HV,0.7683830187211406
NSGAII,ZDT1,8,EP,0.08690764149436447
NSGAII,ZDT1,8,HV,0.7733779150270252
NSGAII,ZDT1,9,EP,0.08508943099287396
NSGAII,ZDT1,9,HV,0.7597558842593889
NSGAII,ZDT1,0,Time,12.467971563339233
NSGAII,ZDT1,1,Time,12.653239965438843
NSGAII,ZDT1,2,Time,12.391984701156616
NSGAII,ZDT1,3,Time,12.76801609992981
NSGAII,ZDT1,4,Time,12.864030361175537
NSGAII,ZDT1,5,Time,12.815626621246338
NSGAII,ZDT1,6,Time,12.741900205612183
NSGAII,ZDT1,7,Time,12.827417612075806
NSGAII,ZDT1,8,Time,12.944260358810425
NSGAII,ZDT1,9,Time,12.809638738632202
NSGAII,ZDT2,0,EP,0.28425679825026384
NSGAII,ZDT2,0,HV,0.33846588165890007
NSGAII,ZDT2,1,EP,0.2939807510253201
NSGAII,ZDT2,1,HV,0.33354766439222994
NSGAII,ZDT2,2,EP,0.21793949772695306
NSGAII,ZDT2,2,HV,0.35243919010211233
NSGAII,ZDT2,3,EP,0.23362634882062286
NSGAII,ZDT2,3,HV,0.34426268524276943
NSGAII,ZDT2,4,EP,0.2746462610488654
NSGAII,ZDT2,4,HV,0.33076314740144874
NSGAII,ZDT2,5,EP,0.2615262406330495
NSGAII,ZDT2,5,HV,0.34025857845343827
NSGAII,ZDT2,6,EP,0.27474438970403675
NSGAII,ZDT2,6,HV,0.3374038878862576
NSGAII,ZDT2,7,EP,0.2399137165364935
NSGAII,ZDT2,7,HV,0.3511625555038627
NSGAII,ZDT2,8,EP,0.26095968579154066
NSGAII,ZDT2,8,HV,0.34602505522672833
NSGAII,ZDT2,9,EP,0.2592920126580582
NSGAII,ZDT2,9,HV,0.34332002951976154
NSGAII,ZDT2,0,Time,14.098317384719849
NSGAII,ZDT2,1,Time,12.590748071670532
NSGAII,ZDT2,2,Time,12.8880136013031
NSGAII,ZDT2,3,Time,12.928771495819092
NSGAII,ZDT2,4,Time,12.922763109207153
NSGAII,ZDT2,5,Time,12.962238550186157
NSGAII,ZDT2,6,Time,12.97990369796753
NSGAII,ZDT2,7,Time,12.969431400299072
NSGAII,ZDT2,8,Time,13.094605445861816
NSGAII,ZDT2,9,Time,13.854771137237549
NSGAII surrogate iSOUPTR 10%,ZDT1,0,EP,0.07315949157137225
NSGAII surrogate iSOUPTR 10%,ZDT1,0,HV,2.5769105603962394
NSGAII surrogate iSOUPTR 10%,ZDT1,1,EP,0.10455927139877844
NSGAII surrogate iSOUPTR 10%,ZDT1,1,HV,0.80404512086177
NSGAII surrogate iSOUPTR 10%,ZDT1,2,EP,-0.32734116724614115
NSGAII surrogate iSOUPTR 10%,ZDT1,2,HV,2.0321467368818595
NSGAII surrogate iSOUPTR 10%,ZDT1,3,EP,-0.3342252761499293
NSGAII surrogate iSOUPTR 10%,ZDT1,3,HV,2.4708948800237995
NSGAII surrogate iSOUPTR 10%,ZDT1,4,EP,0.11564506079455628
NSGAII surrogate iSOUPTR 10%,ZDT1,4,HV,0.7537420642688193
NSGAII surrogate iSOUPTR 10%,ZDT1,5,EP,0.13523632286963938
NSGAII surrogate iSOUPTR 10%,ZDT1,5,HV,0.9100958309341238
NSGAII surrogate iSOUPTR 10%,ZDT1,6,EP,-0.36590076616788
NSGAII surrogate iSOUPTR 10%,ZDT1,6,HV,6.883546789939994
NSGAII surrogate iSOUPTR 10%,ZDT1,7,EP,-1.8916298979848056
NSGAII surrogate iSOUPTR 10%,ZDT1,7,HV,16.90095574683658
NSGAII surrogate iSOUPTR 10%,ZDT1,8,EP,0.12676324752665946
NSGAII surrogate iSOUPTR 10%,ZDT1,8,HV,1.5929619881136594
NSGAII surrogate iSOUPTR 10%,ZDT1,9,EP,-0.0708286907072592
NSGAII surrogate iSOUPTR 10%,ZDT1,9,HV,1.3441217301831438
NSGAII surrogate iSOUPTR 10%,ZDT1,0,Time,20.295378923416138
NSGAII surrogate iSOUPTR 10%,ZDT1,1,Time,21.724637508392334
NSGAII surrogate iSOUPTR 10%,ZDT1,2,Time,22.184218168258667
NSGAII surrogate iSOUPTR 10%,ZDT1,3,Time,21.969740867614746
NSGAII surrogate iSOUPTR 10%,ZDT1,4,Time,21.07223677635193
NSGAII surrogate iSOUPTR 10%,ZDT1,5,Time,20.64134931564331
NSGAII surrogate iSOUPTR 10%,ZDT1,6,Time,22.209514379501343
NSGAII surrogate iSOUPTR 10%,ZDT1,7,Time,21.358371019363403
NSGAII surrogate iSOUPTR 10%,ZDT1,8,Time,21.36774444580078
