Algorithm,Problem,ExecutionId,IndicatorName,IndicatorValue
NSGAII,DTLZ7,0,EP,0.5330197463523859
NSGAII,DTLZ7,0,HV,0.4109820543474538
NSGAII,DTLZ7,1,EP,0.5521391513735121
NSGAII,DTLZ7,1,HV,0.3952796805352122
NSGAII,DTLZ7,2,EP,0.5223570680220071
NSGAII,DTLZ7,2,HV,0.4262636952254978
NSGAII,DTLZ7,3,EP,0.5593282480115732
NSGAII,DTLZ7,3,HV,0.4114044731428967
NSGAII,DTLZ7,4,EP,0.6297936812819183
NSGAII,DTLZ7,4,HV,0.3535999253361358
NSGAII,DTLZ7,5,EP,0.5094277853733974
NSGAII,DTLZ7,5,HV,0.4668753311133809
NSGAII,DTLZ7,6,EP,0.5402253483691163
NSGAII,DTLZ7,6,HV,0.3871312409706402
NSGAII,DTLZ7,7,EP,0.5445115197547894
NSGAII,DTLZ7,7,HV,0.43918190106989335
NSGAII,DTLZ7,8,EP,0.5302009877970528
NSGAII,DTLZ7,8,HV,0.4522241073949403
NSGAII,DTLZ7,9,EP,0.4970908414925184
NSGAII,DTLZ7,9,HV,0.4710942856243408
NSGAII,DTLZ7,0,Time,12.066224575042725
NSGAII,DTLZ7,1,Time,12.191119909286499
NSGAII,DTLZ7,2,Time,12.1338791847229
NSGAII,DTLZ7,3,Time,12.220937252044678
NSGAII,DTLZ7,4,Time,12.207226991653442
NSGAII,DTLZ7,5,Time,12.115563154220581
NSGAII,DTLZ7,6,Time,12.26065707206726
NSGAII,DTLZ7,7,Time,12.21343231201172
NSGAII,DTLZ7,8,Time,13.885303735733032
NSGAII,DTLZ7,9,Time,12.159379959106445
NSGAII surrogate iSOUPTR 10%,DTLZ7,0,EP,0.6871672820066967
NSGAII surrogate iSOUPTR 10%,DTLZ7,0,HV,0.2036435205166721
NSGAII surrogate iSOUPTR 10%,DTLZ7,1,EP,0.8292439873687841
NSGAII surrogate iSOUPTR 10%,DTLZ7,1,HV,0.22271841541169574
NSGAII surrogate iSOUPTR 10%,DTLZ7,2,EP,0.8208344040890938
NSGAII surrogate iSOUPTR 10%,DTLZ7,2,HV,0.2036333743540757
NSGAII surrogate iSOUPTR 10%,DTLZ7,3,EP,0.796490416198675
NSGAII surrogate iSOUPTR 10%,DTLZ7,3,HV,2.0220131097983267
NSGAII surrogate iSOUPTR 10%,DTLZ7,4,EP,0.8177580613279929
NSGAII surrogate iSOUPTR 10%,DTLZ7,4,HV,0.2417221657248208
NSGAII surrogate iSOUPTR 10%,DTLZ7,5,EP,0.8416691311328863
NSGAII surrogate iSOUPTR 10%,DTLZ7,5,HV,0.225084380607888
NSGAII surrogate iSOUPTR 10%,DTLZ7,6,EP,0.6763457166062495
NSGAII surrogate iSOUPTR 10%,DTLZ7,6,HV,0.21740883240373746
NSGAII surrogate iSOUPTR 10%,DTLZ7,7,EP,0.6776361238721602
NSGAII surrogate iSOUPTR 10%,DTLZ7,7,HV,0.21433953426931254
NSGAII surrogate iSOUPTR 10%,DTLZ7,8,EP,0.7103103029586177
NSGAII surrogate iSOUPTR 10%,DTLZ7,8,HV,0.2195441459124129
NSGAII surrogate iSOUPTR 10%,DTLZ7,9,EP,0.6736365586098739
NSGAII surrogate iSOUPTR 10%,DTLZ7,9,HV,0.2813722860010305
NSGAII surrogate iSOUPTR 10%,DTLZ7,0,Time,19.025481700897213
NSGAII surrogate iSOUPTR 10%,DTLZ7,1,Time,20.39376783370972
NSGAII surrogate iSOUPTR 10%,DTLZ7,2,Time,19.0820152759552
NSGAII surrogate iSOUPTR 10%,DTLZ7,3,Time,18.169307947158813
NSGAII surrogate iSOUPTR 10%,DTLZ7,4,Time,19.58650279045105
NSGAII surrogate iSOUPTR 10%,DTLZ7,5,Time,20.40606641769409
NSGAII surrogate iSOUPTR 10%,DTLZ7,6,Time,20.696206092834476
NSGAII surrogate iSOUPTR 10%,DTLZ7,7,Time,18.86764121055603
NSGAII surrogate iSOUPTR 10%,DTLZ7,8,Time,19.108930826187134
NSGAII surrogate iSOUPTR 10%,DTLZ7,9,Time,19.034613609313965
NSGAII surrogate iSOUPTR 20%,DTLZ7,0,EP,0.5970681492661791
NSGAII surrogate iSOUPTR 20%,DTLZ7,0,HV,0.7125852999954666
NSGAII surrogate iSOUPTR 20%,DTLZ7,1,EP,0.659223435667057
NSGAII surrogate iSOUPTR 20%,DTLZ7,1,HV,0.27201917389927044
NSGAII surrogate iSOUPTR 20%,DTLZ7,2,EP,0.6593184525851019
